time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-07T05:54:51.360Z,33.4496667,-116.55,11.94,0.54,ml,21,70,0.06262,0.25,ci,ci38349223,2019-05-07T05:58:29.719Z,"16km SE of Anza, CA",earthquake,0.51,0.66,0.137,10,automatic,ci,ci
2019-05-07T05:49:05.340Z,38.8224983,-122.8161697,2.4,0.87,md,20,71,0.004845,0.04,nc,nc73178260,2019-05-07T06:03:04.605Z,"7km NW of The Geysers, CA",earthquake,0.24,0.56,0.07,4,automatic,nc,nc
2019-05-07T05:33:15.420Z,38.8328323,-122.8095016,1.98,1.25,md,23,42,0.009434,0.04,nc,nc73178245,2019-05-07T05:50:03.696Z,"8km W of Cobb, CA",earthquake,0.22,0.41,0.11,6,automatic,nc,nc
2019-05-07T05:33:15.294Z,60.0699,-152.7662,130.8,1.7,ml,,,,0.97,ak,ak0195u4fcqj,2019-05-07T05:38:22.408Z,"46km S of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-07T05:32:30.910Z,38.9599991,-123.0554962,-0.13,2.42,md,24,76,,0.2,nc,nc73178240,2019-05-07T05:55:03.556Z,"15km SW of Lakeport, CA",earthquake,0.52,10.06,0.16,12,automatic,nc,nc
2019-05-07T05:18:27.160Z,37.3348351,-121.7011642,7.43,2.59,md,61,37,,0.07,nc,nc73178225,2019-05-07T05:56:41.410Z,"12km ESE of Alum Rock, CA",earthquake,0.13,0.3,0.13,32,automatic,nc,nc
2019-05-07T05:05:48.696Z,66.3203,-157.2187,0,1.6,ml,,,,0.71,ak,ak0195u49f2t,2019-05-07T05:13:57.083Z,"67km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-07T05:02:45.520Z,33.2581667,-116.1186667,8.15,1.54,ml,43,70,0.1102,0.2,ci,ci38349199,2019-05-07T05:13:33.000Z,"13km N of Ocotillo Wells, CA",earthquake,0.26,1.74,0.131,26,automatic,ci,ci
2019-05-07T04:58:38.613Z,39.7889,-117.4933,5.2,3.9,ml,44,74.81,0.68,0.2315,nn,nn00684210,2019-05-07T06:06:46.762Z,"47km NW of Austin, Nevada",earthquake,,3.1,0.25,26,reviewed,nn,nn
2019-05-07T04:55:06.464Z,69.6331,-144.5596,1.6,2.1,ml,,,,0.94,ak,ak0195u3ym1i,2019-05-07T05:00:33.852Z,"66km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-05-07T04:52:52.989Z,61.459,-151.6738,104.3,2,ml,,,,0.68,ak,ak0195u3y2gm,2019-05-07T04:58:52.804Z,"88km NNW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-07T04:52:43.220Z,38.7900009,-122.7633362,0.73,1.72,md,19,73,0.02187,0.04,nc,nc73178210,2019-05-07T05:07:02.142Z,"2km NNW of The Geysers, CA",earthquake,0.21,0.56,0.08,7,automatic,nc,nc
2019-05-07T04:51:57.415Z,59.7069,-152.2913,71.3,1.8,ml,,,,0.62,ak,ak0195u3xv2y,2019-05-07T04:58:52.406Z,"27km WSW of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-05-07T04:16:50.559Z,69.8951,-143.3011,24.4,1.6,ml,,,,1.14,ak,ak0195u3qcqn,2019-05-07T04:20:43.771Z,"29km SSE of Kaktovik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-07T04:02:48.375Z,59.131,-152.4531,66,2.3,ml,,,,0.64,ak,ak0195u3ncav,2019-05-07T04:06:30.893Z,"76km SW of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-07T04:00:45.810Z,33.4671667,-116.758,11.24,0.94,ml,12,121,0.07983,0.31,ci,ci38349151,2019-05-07T04:04:23.850Z,"10km ENE of Aguanga, CA",earthquake,0.99,1.78,0.426,13,automatic,ci,ci
2019-05-07T03:59:26.000Z,37.3537,-117.1255,10.1,1.3,ml,30,127.56,0.12,0.23,nn,nn00684204,2019-05-07T04:03:29.375Z,"40km SSE of Goldfield, Nevada",earthquake,,2.2,,,automatic,nn,nn
2019-05-07T03:58:44.408Z,37.368,-117.118,6.9,1,ml,24,104.22,0.132,0.2307,nn,nn00684205,2019-05-07T04:24:22.565Z,"39km SSE of Goldfield, Nevada",earthquake,,3.4,0.39,9,reviewed,nn,nn
2019-05-07T03:27:44.630Z,38.7876663,-122.7651672,1.28,1.76,md,24,75,0.01861,0.04,nc,nc73178205,2019-05-07T04:00:03.748Z,"1km NNW of The Geysers, CA",earthquake,0.19,0.44,0.13,7,automatic,nc,nc
2019-05-07T03:18:39.140Z,36.0403333,-117.8051667,1.94,0.45,ml,6,112,0.03569,0.03,ci,ci38349127,2019-05-07T03:22:10.762Z,"13km E of Coso Junction, CA",earthquake,0.18,0.21,0.044,4,automatic,ci,ci
2019-05-07T03:16:54.820Z,38.838665,-122.7808304,2.41,0.56,md,10,106,0.005238,0.02,nc,nc73178200,2019-05-07T03:50:02.687Z,"5km WNW of Cobb, CA",earthquake,0.63,1.1,,1,automatic,nc,nc
2019-05-07T03:14:15.640Z,33.493,-116.8499985,16.53,1.51,ml,16,72,0.04576,0.19,ci,ci38349119,2019-05-07T03:16:21.280Z,"6km NNE of Aguanga, CA",earthquake,0.72,1.16,0.602,7,automatic,ci,ci
2019-05-07T03:09:50.955Z,-38.0715,-94.2424,10,4.6,mb,,161,16.291,0.93,us,us70003htw,2019-05-07T04:07:34.040Z,"West Chile Rise",earthquake,13.7,1.9,0.083,43,reviewed,us,us
2019-05-07T03:08:47.520Z,33.3215,-116.4156667,6.99,1.72,ml,62,53,0.05317,0.21,ci,ci38349111,2019-05-07T03:19:59.360Z,"8km NNW of Borrego Springs, CA",earthquake,0.26,0.87,0.133,27,automatic,ci,ci
2019-05-07T02:52:37.005Z,61.0649,-150.2874,32.7,1.9,ml,,,,0.59,ak,ak0195u2r60n,2019-05-07T03:03:38.871Z,"26km SW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-07T02:48:00.890Z,37.3354988,-121.7001648,7.51,2.62,md,53,44,,0.07,nc,nc73178180,2019-05-07T04:22:50.788Z,"12km ESE of Alum Rock, CA",earthquake,0.15,0.32,0.1,38,automatic,nc,nc
2019-05-07T02:39:49.917Z,65.5485,-165.7523,8.5,2,ml,,,,0.88,ak,ak0195u2oepf,2019-05-07T02:45:34.173Z,"80km S of Shishmaref, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-07T02:36:53.620Z,37.3320007,-121.696167,7.79,1.3,md,13,83,0.04379,0.08,nc,nc73178175,2019-05-07T03:28:03.803Z,"12km ESE of Alum Rock, CA",earthquake,0.31,0.69,0.48,2,automatic,nc,nc
2019-05-07T02:21:48.066Z,61.3763,-150.1199,45.5,1.4,ml,,,,0.35,ak,ak0195u2kjo6,2019-05-07T02:24:39.554Z,"18km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-05-07T02:12:28.030Z,33.4006667,-116.3215,15.2,0.72,ml,21,125,0.1502,0.26,ci,ci38349055,2019-05-07T02:16:03.931Z,"17km NNE of Borrego Springs, CA",earthquake,0.57,1.22,0.12,15,automatic,ci,ci
2019-05-07T01:53:05.610Z,37.3338318,-121.6965027,7.7,1.55,md,15,76,0.04369,0.05,nc,nc73178155,2019-05-07T03:06:02.411Z,"12km ESE of Alum Rock, CA",earthquake,0.32,0.69,0.28,4,automatic,nc,nc
2019-05-07T01:41:20.210Z,18.1283,-66.9121,19,1.64,md,4,185,0.1801,0.1,pr,pr2019127000,2019-05-07T03:39:17.729Z,"7km NE of Sabana Grande, Puerto Rico",earthquake,0.76,1.9,0.52,3,reviewed,pr,pr
2019-05-07T01:35:55.570Z,64.6381,-147.6252,2.7,0.9,ml,,,,0.63,ak,ak0195u224o4,2019-05-07T01:38:40.709Z,"18km SSW of Badger, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-07T01:34:35.430Z,37.5470009,-121.908165,20.61,1.34,md,5,160,0.1142,0.05,nc,nc73178145,2019-05-07T01:45:06.573Z,"6km SSW of Sunol, CA",earthquake,1.6,1.1,,1,automatic,nc,nc
2019-05-07T01:19:08.076Z,66.2745,-157.166,1,1.2,ml,,,,0.66,ak,ak0195u1ylit,2019-05-07T01:22:27.426Z,"71km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-07T01:00:33.171Z,62.8777,-150.8196,103.1,1.7,ml,,,,0.47,ak,ak0195u1ukvo,2019-05-07T01:05:13.846Z,"71km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-05-07T00:57:28.576Z,62.4611,-142.7184,2.6,1.8,ml,,,,0.75,ak,ak0195u1lcqb,2019-05-07T01:03:02.720Z,"98km S of Tok, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-07T00:50:03.041Z,-35.544,-71.5544,91.38,3.9,mb,,131,0.244,1.05,us,us70003hta,2019-05-07T01:16:57.995Z,"6km W of San Clemente, Chile",earthquake,5,14.1,0.363,2,reviewed,us,us
2019-05-07T00:48:58.310Z,33.4955,-116.6956667,0.28,0.47,ml,15,130,0.07771,0.22,ci,ci38349023,2019-05-07T00:52:39.587Z,"7km SSW of Anza, CA",earthquake,0.59,0.9,0.274,11,automatic,ci,ci
2019-05-07T00:30:22.465Z,7.7412,-82.2903,22.98,4.4,mb,,237,1.117,0.78,us,us70003ht9,2019-05-07T01:04:42.040Z,"70km SSE of Pedregal, Panama",earthquake,11.1,10.3,0.055,95,reviewed,us,us
2019-05-07T00:14:33.202Z,62.2875,-150.0407,35.7,2.3,ml,,,,0.48,ak,ak0195u1c59y,2019-05-07T00:27:05.195Z,"5km SE of Talkeetna, Alaska",earthquake,,6,,,automatic,ak,ak
2019-05-06T23:55:14.452Z,62.9941,-150.816,109.5,2.6,ml,,,,0.49,ak,ak0195srqila,2019-05-07T02:14:19.040Z,"83km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-06T23:48:01.150Z,33.9486667,-117.1775,13.28,1.01,ml,25,56,0.05812,0.18,ci,ci38348967,2019-05-06T23:51:35.280Z,"5km ENE of Moreno Valley, CA",earthquake,0.3,0.57,0.202,28,automatic,ci,ci
2019-05-06T23:46:03.380Z,37.3805,-118.5375,7.45,0.74,md,10,95,0.03415,0.05,nc,nc73178125,2019-05-07T00:46:50.442Z,"6km SE of Round Valley, CA",earthquake,0.43,0.96,0.34,10,reviewed,nc,nc
2019-05-06T23:45:45.690Z,17.9501,-66.857,12,2.01,md,4,264,0.0334,0.03,pr,pr2019126011,2019-05-07T03:39:08.609Z,"4km SE of Maria Antonia, Puerto Rico",earthquake,1.05,0.5,0.17,4,reviewed,pr,pr
2019-05-06T23:37:49.478Z,60.5513,-147.5711,14.7,1.8,ml,,,,0.87,ak,ak0195srmqfn,2019-05-06T23:41:54.456Z,"65km ESE of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-06T23:24:40.830Z,32.7871667,-116.0091667,12.39,1.16,ml,17,101,0.07428,0.13,ci,ci38348951,2019-05-06T23:51:33.157Z,"6km NNW of Ocotillo, CA",earthquake,0.26,0.48,0.202,11,reviewed,ci,ci
2019-05-06T23:22:46.270Z,35.0398333,-117.6785,-0.82,1.5,ml,25,57,0.1062,0.15,ci,ci38348943,2019-05-06T23:48:14.739Z,"5km NNW of Boron, CA",quarry blast,0.33,31.61,0.098,22,reviewed,ci,ci
2019-05-06T23:21:11.957Z,61.5157,-150.3399,56.9,1.6,ml,,,,0.27,ak,ak0195srj83f,2019-05-06T23:24:00.339Z,"20km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-06T23:19:11.699Z,-15.6262,167.2955,161.03,5,mb,,160,6.461,1.04,us,us70003hsv,2019-05-07T02:05:17.040Z,"17km SE of Luganville, Vanuatu",earthquake,11.7,11.1,0.103,30,reviewed,us,us
2019-05-06T23:17:14.320Z,33.5225,-116.5536667,15.04,0.52,ml,19,104,0.03971,0.09,ci,ci38348935,2019-05-06T23:45:27.727Z,"12km ESE of Anza, CA",earthquake,0.21,0.29,0.136,9,reviewed,ci,ci
2019-05-06T23:09:55.200Z,38.3691673,-122.5738297,4.89,1.54,md,6,148,0.09384,0.04,nc,nc73178120,2019-05-06T23:44:02.734Z,"4km W of Glen Ellen, CA",earthquake,1.07,2.61,0.17,4,automatic,nc,nc
2019-05-06T23:09:32.407Z,66.3149,-157.2242,0,1.3,ml,,,,0.29,ak,ak0195srgp2w,2019-05-06T23:13:17.990Z,"67km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-06T23:09:08.139Z,4.8923,128.0424,10,4.6,mb,,136,15.03,1.01,us,us70003hsq,2019-05-07T00:38:53.611Z,"262km SE of Pondaguitan, Philippines",earthquake,11.2,1.9,0.1,30,reviewed,us,us
2019-05-06T23:02:52.402Z,64.9235,-147.2889,0,1.5,ml,,,,0.7,ak,ak0195srf8l8,2019-05-06T23:11:37.306Z,"17km NE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-06T23:02:39.670Z,18.4323,-66.1001,10,1.63,md,3,319,0.3839,0.1,pr,pr2019126010,2019-05-07T03:38:56.121Z,"2km ESE of Catano, Puerto Rico",earthquake,0.99,11.72,0.44,2,reviewed,pr,pr
2019-05-06T23:01:15.110Z,38.8391685,-122.8256683,1.85,1.18,md,21,69,0.00769,0.04,nc,nc73178115,2019-05-07T02:40:02.894Z,"9km WNW of Cobb, CA",earthquake,0.23,0.47,0.05,4,automatic,nc,nc
2019-05-06T22:53:05.890Z,33.6695,-116.7415,16.62,0.51,ml,18,107,0.0474,0.08,ci,ci38348911,2019-05-06T23:40:11.763Z,"8km SSW of Idyllwild, CA",earthquake,0.24,0.36,0.14,10,reviewed,ci,ci
2019-05-06T22:37:55.227Z,51.41,-178.5779,41.12,4.4,mb,,177,0.992,1.08,us,us70003hsd,2019-05-06T23:04:04.572Z,"40km ENE of Amatignak Island, Alaska",earthquake,8.6,8.5,0.04,178,reviewed,us,us
2019-05-06T22:07:27.130Z,37.2278,-115.9237,6.2,0.2,ml,5,293.12,0.067,0.0423,nn,nn00684196,2019-05-07T02:06:13.664Z,"69km WSW of Alamo, Nevada",earthquake,,8.6,0.16,3,reviewed,nn,nn
2019-05-06T22:01:43.710Z,38.8353348,-122.8271637,1.62,1.51,md,23,70,0.007267,0.04,nc,nc73178110,2019-05-07T01:32:04.495Z,"9km NW of The Geysers, CA",earthquake,0.19,0.55,0.12,6,automatic,nc,nc
2019-05-06T21:59:04.320Z,38.8100014,-122.8209991,2.6,0.34,md,13,71,0.00649,0.05,nc,nc73178105,2019-05-06T22:38:04.346Z,"7km WNW of The Geysers, CA",earthquake,0.33,0.69,0.03,3,automatic,nc,nc
2019-05-06T21:59:02.047Z,61.4073,-149.9412,20,2.8,ml,,,,0.81,ak,ak0195sqkhcu,2019-05-07T00:25:45.040Z,"9km SSE of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-06T21:54:15.590Z,33.4886667,-116.7905,4.1,1.01,ml,35,33,0.02503,0.13,ci,ci38348871,2019-05-06T23:37:14.250Z,"9km NE of Aguanga, CA",earthquake,0.14,0.37,0.105,21,reviewed,ci,ci
2019-05-06T21:51:17.338Z,39.0377,-118.4329,1.5,1.4,ml,7,128.04,0.365,0.1512,nn,nn00684191,2019-05-07T02:06:12.386Z,"48km WNW of Gabbs, Nevada",earthquake,,4.2,0.37,3,reviewed,nn,nn
2019-05-06T21:50:15.260Z,60.9926,-149.7458,30.8,2,ml,,,,0.59,ak,ak0195sqikwm,2019-05-06T21:53:20.078Z,"26km SSE of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-06T21:41:49.230Z,38.8303337,-122.7998352,2.61,0.56,md,7,86,0.01058,0.01,nc,nc73178100,2019-05-06T22:06:03.170Z,"7km W of Cobb, CA",earthquake,1.04,2.2,,1,automatic,nc,nc
2019-05-06T21:40:51.830Z,36.0255,-117.7706667,1.71,0.96,ml,13,68,0.004392,0.05,ci,ci38348863,2019-05-06T23:29:59.537Z,"16km NE of Little Lake, CA",earthquake,0.13,0.12,0.214,7,reviewed,ci,ci
2019-05-06T21:31:10.890Z,33.2533333,-116.1171667,8.1,1.19,ml,44,70,0.1063,0.23,ci,ci38348847,2019-05-06T23:01:13.051Z,"12km N of Ocotillo Wells, CA",earthquake,0.29,1.28,0.103,33,reviewed,ci,ci
2019-05-06T21:28:49.290Z,33.4801667,-116.4591667,13.31,1.12,ml,43,84,0.05139,0.16,ci,ci38348831,2019-05-06T23:25:25.072Z,"22km ESE of Anza, CA",earthquake,0.2,0.39,0.16,24,reviewed,ci,ci
2019-05-06T21:22:10.656Z,37.238,-117.6272,6.8,0.7,ml,10,116.61,0.016,0.1662,nn,nn00684181,2019-05-07T02:06:09.012Z,"59km E of Big Pine, California",earthquake,,1.3,0.12,7,reviewed,nn,nn
2019-05-06T21:19:35.740Z,-6.9767,146.44,126.92,7.2,mww,,19,2.515,0.94,us,us70003hqb,2019-05-07T05:11:00.112Z,"33km NW of Bulolo, Papua New Guinea",earthquake,7.5,5.3,0.056,31,reviewed,us,us
2019-05-06T21:03:19.242Z,-25.0233,179.9129,499.67,4.8,mb,,119,7.446,1.13,us,us70003hpz,2019-05-06T21:25:00.040Z,"South of the Fiji Islands",earthquake,11.9,7,0.083,45,reviewed,us,us
2019-05-06T20:47:13.050Z,66.2538,-157.1959,0.3,1.4,ml,,,,0.81,ak,ak0195spwhzd,2019-05-06T20:51:24.311Z,"74km S of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-06T20:39:29.210Z,45.4886666666667,-122.182,-1.22,1.5,ml,6,195,,0.3,uw,uw61521396,2019-05-06T22:53:21.650Z,"11km NNE of Sandy, Oregon",explosion,1.97,31.61,0.174758898147135,6,reviewed,uw,uw
2019-05-06T20:33:28.960Z,37.5595,-118.8616667,4.33,0.58,md,7,282,0.03997,0.02,nc,nc73178070,2019-05-06T23:52:34.709Z,"13km SE of Mammoth Lakes, CA",earthquake,3.38,4.36,0.083,5,reviewed,nc,nc
2019-05-06T20:30:13.176Z,61.423,-149.9505,19.6,2.7,ml,,,,0.82,ak,ak0195spsuuk,2019-05-06T20:54:45.243Z,"10km S of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-06T20:21:58.581Z,39.7242,-117.4458,1.2,2.2,ml,6,243.64,0.665,0.1563,nn,nn00684169,2019-05-07T02:06:03.292Z,"41km NW of Austin, Nevada",earthquake,,3.2,0.04,2,reviewed,nn,nn
2019-05-06T20:18:54.830Z,33.5688333,-116.9016667,7.95,0.57,ml,19,60,0.07578,0.12,ci,ci38348655,2019-05-06T23:14:04.349Z,"14km NNW of Aguanga, CA",earthquake,0.2,0.89,0.144,10,reviewed,ci,ci
2019-05-06T20:14:26.990Z,18.8213,-64.3935,32,3.24,md,13,340,1.606,0.22,pr,pr2019126009,2019-05-07T01:26:33.534Z,"50km NNE of Road Town, British Virgin Islands",earthquake,2.44,14.93,0.27,11,reviewed,pr,pr
